Name,Address 1,Address 2,Town/City,County,Postcode,Phone number,CQC Provider ID (for office use only),CQC Location ID (for office use only),Website,Local authority,Region,Report publication date,URL,Also known as,Specialisms/services,Service types,Provider name
Lang Riggs House,Breeze Hill Road,,Manchester,Lancashire,M46 9HJ,1942871162.0,1-1051964904,1-2030948387,,Bolton,North West,2020-11-13T00:00:00Z,http://www.cqc.org.uk/location/1-2030948387,,"Caring for adults under 65 yrs,Learning disabilities,Mental health conditions",Residential homes,Nestlings Care Ltd
Chaffinch Residential Care Home,36 Chaffinch Drive,,Bury,Lancashire,BL9 6JU,1617634579.0,1-7765942392,1-8059420725,,Bury,North West,2020-11-14T00:00:00Z,http://www.cqc.org.uk/location/1-8059420725,,"Caring for adults under 65 yrs,Mental health conditions,Caring for adults over 65 yrs",Residential homes,Grace Specialist Healthcare Limited
Bamford Close,Adswood Lane West,Cale Green,Stockport,Greater Manchester,SK3 8HT,1614806712.0,1-101650168,1-119415715,http://www.boroughcare.org.uk,Stockport,North West,2020-10-31T00:00:00Z,http://www.cqc.org.uk/location/1-119415715,,"Dementia,Caring for adults over 65 yrs",Residential homes,Borough Care Ltd
Next Steps Monton,69 Monton Street,,Manchester,Greater Manchester,M14 4LS,7515925199.0,1-3127828222,1-6375710545,,Manchester,North West,2020-10-19T23:00:00Z,http://www.cqc.org.uk/location/1-6375710545,,"Caring for adults under 65 yrs,Mental health conditions,Caring for adults over 65 yrs",Nursing homes,K Bond Healthcare Ltd
Beechill Nursing Home,25 Smedley Lane,Cheetham Hill,Manchester,Greater Manchester,M8 8XB,1612050069.0,1-101681742,1-121486305,http://www.beechillnursinghome.co.uk,Manchester,North West,2020-11-12T00:00:00Z,http://www.cqc.org.uk/location/1-121486305,,"Caring for adults under 65 yrs,Learning disabilities,Mental health conditions,Caring for adults over 65 yrs,Substance misuse problems,Physical disabilities","Nursing homes,Rehabilitation (substance abuse)",Skolak Healthcare Limited
Blackley Premier Care,70 Hill Lane,Blackley,Manchester,Greater Manchester,M9 6PF,1617408552.0,1-122134209,1-262528640,http://www.blackleypremiercare.org,Manchester,North West,2020-10-28T00:00:00Z,http://www.cqc.org.uk/location/1-262528640,,Caring for adults over 65 yrs,Residential homes,Mr David Arthur Hopkins
Neville House Residential Home,Neville Street,Chadderton,Oldham,Greater Manchester,OL9 6LD,1616275874.0,1-101712519,1-109570155,,Oldham,North West,2018-10-09T23:00:00Z,http://www.cqc.org.uk/location/1-109570155,,"Sensory impairments,Dementia,Caring for adults over 65 yrs,Physical disabilities",Residential homes,Dr B A Odedra
House Martins Care Limited Number Two,2 Rivington Road,,Salford,Greater Manchester,M6 8GQ,1617368057.0,1-101608220,1-111340489,http://www.housemartinscare.co.uk,Salford,North West,2018-11-27T00:00:00Z,http://www.cqc.org.uk/location/1-111340489,,"Caring for adults under 65 yrs,Learning disabilities,Mental health conditions,Physical disabilities",Residential homes,House Martins Care Limited
463,463-465 Parrswood Road,Didsbury,Manchester,,M20 5NE,1614344118.0,1-2229122294,1-2295667683,,Manchester,North West,2019-10-02T23:00:00Z,http://www.cqc.org.uk/location/1-2295667683,,"Caring for adults under 65 yrs,Physical disabilities",Nursing homes,Francis House Families Limited
Claremont Care Home,254-256 Washway Road,,Sale,Cheshire,M33 4RZ,1619737130.0,1-444748163,1-447730631,,Trafford,North West,2018-11-22T00:00:00Z,http://www.cqc.org.uk/location/1-447730631,,"Caring for adults under 65 yrs,Caring for adults over 65 yrs",Residential homes,Claremont Care Home Limited
Fairleigh House,34 Wellington Road,Whalley Range,Manchester,Greater Manchester,M16 8EX,1612264550.0,1-101619778,1-117300110,http://www.citycarepartnership.co.uk,Manchester,North West,2019-08-19T23:00:00Z,http://www.cqc.org.uk/location/1-117300110,,Learning disabilities,Residential homes,City Care Partnership Limited
Yew Tree,Fairy Lane,Sale,Trafford,Cheshire,M33 2JT,1619739616.0,1-101619778,1-1993951152,,Trafford,North West,2017-11-03T00:00:00Z,http://www.cqc.org.uk/location/1-1993951152,,"Learning disabilities,Caring for adults over 65 yrs",Residential homes,City Care Partnership Limited
Heaton Vale,Belmont,Basil Street,Stockport,,SK4 1QL,7557232278.0,1-101619778,1-2273496228,http://www.citycarepartnership.co.uk,Stockport,North West,2017-11-30T00:00:00Z,http://www.cqc.org.uk/location/1-2273496228,,Learning disabilities,Residential homes,City Care Partnership Limited
The Crescent,50 The Crescent,Davenport,Stockport,Cheshire,SK3 8SN,1612172300.0,1-485253781,1-493085244,http://www.engagesupport.co.uk,Stockport,North West,2018-11-21T00:00:00Z,http://www.cqc.org.uk/location/1-493085244,,"Caring for children (0 - 18yrs),Caring for adults under 65 yrs,Learning disabilities",Residential homes,Engage Support Limited
Elmhurst Short Stay Service,Whalley Road,Whitefield,Manchester,Lancashire,M45 8WZ,1612536833.0,1-2172329725,1-2584752130,,Bury,North West,2019-02-15T00:00:00Z,http://www.cqc.org.uk/location/1-2584752130,,"Sensory impairments,Caring for adults under 65 yrs,Dementia,Caring for adults over 65 yrs,Physical disabilities",Residential homes,Persona Care and Support Limited
Chataway Nursing Home,19-21 Chataway Road,Crumpsall,Manchester,Greater Manchester,M8 5UU,1612055546.0,1-101654122,1-120005271,,Manchester,North West,2018-08-10T23:00:00Z,http://www.cqc.org.uk/location/1-120005271,,Mental health conditions,Nursing homes,D R Price Associates Limited
Mediline Supported Living Averill,47 Averill Street,Newton Heath,Manchester,Lancashire,M40 1PH,1616822062.0,1-101685191,1-191191147,http://www.northwestcommunityservices.co.uk,Manchester,North West,2018-12-12T00:00:00Z,http://www.cqc.org.uk/location/1-191191147,,Learning disabilities,Residential homes,Mediline Supported Living Limited
Mediline Supported Living Bacup,11 Bacup Street,Moston,Manchester,Lancashire,M40 9HF,1616819455.0,1-101685191,1-191191182,http://www.northwestcommunityservices.co.uk,Manchester,North West,2019-01-05T00:00:00Z,http://www.cqc.org.uk/location/1-191191182,,Learning disabilities,Residential homes,Mediline Supported Living Limited
Northenden House,448 Northenden Road,,Sale,,M33 2RB,1619626660.0,1-101618788,1-4978955325,,Trafford,North West,2020-09-24T23:00:00Z,http://www.cqc.org.uk/location/1-4978955325,,"Sensory impairments,Caring for adults under 65 yrs,Dementia,Learning disabilities,Mental health conditions,Caring for adults over 65 yrs,Eating disorders,Physical disabilities",Nursing homes,Caritas Services Limited
Oldfield Bank Residential Care Home,5 Highgate Road,,Altrincham,Cheshire,WA14 4QZ,1619280658.0,1-3701971142,1-3909880280,http://www.oldfieldbank.co.uk,Trafford,North West,2019-11-19T00:00:00Z,http://www.cqc.org.uk/location/1-3909880280,,"Dementia,Caring for adults over 65 yrs",Residential homes,3A Care (Altrincham) Limited
Newlands Nursing & Residential Home,122 Heaton Moor Road,Heaton Moor,Stockport,Greater Manchester,SK4 4JY,1614322236.0,1-305829465,1-320496594,http://www.hc-one.co.uk/homes/newlands,Stockport,North West,2017-12-20T00:00:00Z,http://www.cqc.org.uk/location/1-320496594,,Caring for adults over 65 yrs,Nursing homes,HC-One Limited
Wellesley House,10 Wellington Road,,Bury,Lancashire,BL9 9BG,1617616932.0,1-138372613,1-253443576,,Bury,North West,2018-05-09T23:00:00Z,http://www.cqc.org.uk/location/1-253443576,,Learning disabilities,Residential homes,Wellesley House Limited
Highfield Manor Care Home,70 Manchester Road,,Heywood,Lancashire,OL10 2AW,1706623388.0,1-5736125197,1-5932629580,,Rochdale,North West,2020-08-27T23:00:00Z,http://www.cqc.org.uk/location/1-5932629580,,"Caring for adults under 65 yrs,Dementia,Caring for adults over 65 yrs,Physical disabilities",Residential homes,Highfield Manor Care Home Limited
New Lane,2-4 New Lane,Breightmet,Bolton,Lancashire,BL2 5BN,1204337830.0,1-2389949004,1-2441297241,,Bolton,North West,2019-10-03T23:00:00Z,http://www.cqc.org.uk/location/1-2441297241,,"Caring for adults under 65 yrs,Learning disabilities,Mental health conditions,Caring for adults over 65 yrs,Substance misuse problems,Eating disorders,Physical disabilities",Residential homes,Bolton Cares (A) Limited
Alexandra - Oldham,71-75 Queens Road,,Oldham,Lancashire,OL8 2BA,1616272970.0,1-101681127,1-120031878,,Oldham,North West,2019-12-19T00:00:00Z,http://www.cqc.org.uk/location/1-120031878,,"Sensory impairments,Dementia,Caring for adults over 65 yrs,Physical disabilities",Nursing homes,Cherry Garden Properties Limited
Coppice Nursing Home,84 Windsor Road,,Oldham,Lancashire,OL8 1RQ,1616268522.0,1-1313147317,1-1332898798,http://www.careww.co.uk/coppice,Oldham,North West,2019-07-15T23:00:00Z,http://www.cqc.org.uk/location/1-1332898798,,"Sensory impairments,Dementia,Mental health conditions,Caring for adults over 65 yrs,Eating disorders,Physical disabilities",Nursing homes,Care Worldwide (Oldham) Limited
Care at Parkside,6-8 Edward Street,,Oldham,Lancashire,OL9 7QW,1616246113.0,1-101676136,1-119142905,,Oldham,North West,2020-10-30T00:00:00Z,http://www.cqc.org.uk/location/1-119142905,,"Sensory impairments,Caring for adults under 65 yrs,Dementia,Caring for adults over 65 yrs,Physical disabilities",Residential homes,Pridell Care Limited
Woodrow House,1 Brownsville Road,,Stockport,,SK4 4PE,1614709910.0,1-517258011,1-5879144469,http://www.cygnethealth.co.uk,Stockport,North West,2020-03-06T00:00:00Z,http://www.cqc.org.uk/location/1-5879144469,,"Caring for adults under 65 yrs,Learning disabilities,Mental health conditions",Residential homes,Relativeto Limited
The Heathlands Village,Heathlands Drive,Prestwich,Manchester,Lancashire,M25 9SB,1617724800.0,1-101639955,1-120757658,http://www.heathlandsvillage.com,Bury,North West,2019-03-08T00:00:00Z,http://www.cqc.org.uk/location/1-120757658,,"Dementia,Learning disabilities,Caring for adults over 65 yrs",Nursing homes,Federation of Jewish Services
Manorhey Care Centre,130 Stretford Road,Urmston,Manchester,Lancashire,M41 9LT,1617476888.0,1-1907867721,1-1938268345,,Trafford,North West,2020-04-06T23:00:00Z,http://www.cqc.org.uk/location/1-1938268345,,"Caring for adults under 65 yrs,Dementia,Mental health conditions,Caring for adults over 65 yrs,Physical disabilities",Nursing homes,Maria Mallaband 16 Limited
Hilltop Court Nursing Home,Dodge Hill,Heaton Norris,Stockport,Cheshire,SK4 1RD,1614804844.0,1-470508438,1-483779302,http://www.harbourhealthcare.co.uk,Stockport,North West,2020-03-26T00:00:00Z,http://www.cqc.org.uk/location/1-483779302,,"Sensory impairments,Caring for adults under 65 yrs,Dementia,Mental health conditions,Caring for adults over 65 yrs,Substance misuse problems,Physical disabilities",Nursing homes,Harbour Healthcare Ltd
Faversham House Nursing Home,59 Church Road,Urmston,Manchester,Greater Manchester,M41 9EJ,1617485998.0,1-101717372,1-135680885,,Trafford,North West,2018-11-23T00:00:00Z,http://www.cqc.org.uk/location/1-135680885,,"Caring for adults under 65 yrs,Caring for adults over 65 yrs,Physical disabilities",Nursing homes,Mrs R Hind
Handsworth,West Road,Bowdon,Altrincham,Cheshire,WA14 2LA,1619285314.0,1-102642904,1-117977245,http://www.mha.org.uk/care-homes/residential-care/handsworth,Trafford,North West,2019-04-10T23:00:00Z,http://www.cqc.org.uk/location/1-117977245,,Caring for adults over 65 yrs,Residential homes,Methodist Homes
St Bonaventures,62 Kenworthy Lane,Northenden,Manchester,Greater Manchester,M22 4EJ,1619456265.0,1-101665864,1-126303077,,Manchester,North West,2018-03-24T00:00:00Z,http://www.cqc.org.uk/location/1-126303077,,Learning disabilities,Residential homes,St Bonaventures Trust
Paul Murphy Centre,1067 - 1071 Rochdale Road,Rochdale Road,Manchester,,M9 8AJ,1612205840.0,1-5673871119,1-5833022949,http://www.vestacare.co.uk,Manchester,North West,2019-04-15T23:00:00Z,http://www.cqc.org.uk/location/1-5833022949,,"Sensory impairments,Caring for adults under 65 yrs,Dementia,Learning disabilities,Caring for adults over 65 yrs,Physical disabilities",Residential homes,Vesta Care (UK) Limited
Zeno Limited,Newall Green Farm,2 Newall Road,Manchester,,M23 2TX,1617060360.0,1-101680921,1-4857926830,http://www.zenoltd.co.uk,Manchester,North West,2019-12-24T00:00:00Z,http://www.cqc.org.uk/location/1-4857926830,,"Caring for children (0 - 18yrs),Caring for adults under 65 yrs,Learning disabilities",Residential homes,Zeno Limited
Downing House,14 Swinbourne Grove,Withington,Manchester,Lancashire,M20 4PP,1614348717.0,1-102642859,1-137749784,http://www.abbeyfield.com,Manchester,North West,2020-02-08T00:00:00Z,http://www.cqc.org.uk/location/1-137749784,,"Caring for adults under 65 yrs,Caring for adults over 65 yrs",Residential homes,Abbeyfield Society (The)
Abbeyfield House - Stockport,120 Moss Lane,Bramhall,Stockport,Greater Manchester,SK7 1EE,1614390046.0,1-102642859,1-137749770,http://www.abbeyfield.com,Stockport,North West,2018-01-19T00:00:00Z,http://www.cqc.org.uk/location/1-137749770,,"Caring for adults under 65 yrs,Caring for adults over 65 yrs",Residential homes,Abbeyfield Society (The)
Ascot House,Ascot Ave,Sale,Manchester,Cheshire,M33 4GT,1619620996.0,1-101640373,1-216385979,,Trafford,North West,2019-01-31T00:00:00Z,http://www.cqc.org.uk/location/1-216385979,,"Caring for adults under 65 yrs,Dementia,Caring for adults over 65 yrs",Residential homes,Trafford Council
Swallowfield Garden Care Home,653 Chorley New Road,Horwich,Bolton,,BL6 6LH,1204916600.0,1-230335748,1-8606269118,,Bolton,North West,,http://www.cqc.org.uk/location/1-8606269118,,"Sensory impairments,Dementia,Mental health conditions,Physical disabilities",Nursing homes,Cuerden Developments Ltd
Nazareth House - Manchester,Scholes Lane,Prestwich,Manchester,Greater Manchester,M25 0NU,1617732111.0,1-400504569,1-403255456,,Bury,North West,2020-01-01T00:00:00Z,http://www.cqc.org.uk/location/1-403255456,,Caring for adults over 65 yrs,Nursing homes,Nazareth Care Charitable Trust
Next Steps,32 Kingscliffe Street,Moston,Manchester,Lancashire,M9 4PG,1012053977.0,1-3127828222,1-3217283406,,Manchester,North West,2018-04-11T23:00:00Z,http://www.cqc.org.uk/location/1-3217283406,,Mental health conditions,Nursing homes,K Bond Healthcare Ltd
Next Steps - The Elms,72 Wigan Road,,Bolton,Lancashire,BL3 5PZ,7515952199.0,1-3127828222,1-4162872248,,Bolton,North West,2019-01-23T00:00:00Z,http://www.cqc.org.uk/location/1-4162872248,,"Caring for adults under 65 yrs,Mental health conditions,Caring for adults over 65 yrs",Residential homes,K Bond Healthcare Ltd
Next Steps Mental Health Levensulme,1055 Stockport Road,,Manchester,Lancashire,M19 2TF,7515925199.0,1-3127828222,1-4625036316,,Manchester,North West,2019-01-23T00:00:00Z,http://www.cqc.org.uk/location/1-4625036316,,"Caring for adults under 65 yrs,Mental health conditions,Caring for adults over 65 yrs",Nursing homes,K Bond Healthcare Ltd
Brierfields,Brierley Avenue,Failsworth,Manchester,Greater Manchester,M35 9HB,1616815484.0,1-101667914,1-125056308,,Oldham,North West,2020-02-21T00:00:00Z,http://www.cqc.org.uk/location/1-125056308,,"Sensory impairments,Dementia,Mental health conditions,Caring for adults over 65 yrs,Physical disabilities",Residential homes,Masterpalm Properties Limited
Meade Close,1-2 Meade Close,Urmston,Manchester,Lancashire,M41 5BL,1617468301.0,1-4569494592,1-4659240298,http://www.salutemhealthcareltd.com,Trafford,North West,2019-03-08T00:00:00Z,http://www.cqc.org.uk/location/1-4659240298,,"Sensory impairments,Caring for adults under 65 yrs,Learning disabilities,Caring for adults over 65 yrs",Residential homes,Salutem LD BidCo IV Limited
Albert Road,24 Albert Road,,Manchester,Lancashire,M19 2FP,1612248736.0,1-4881292027,1-5878062410,http://www.nationalcaregroup.com,Manchester,North West,2020-08-11T23:00:00Z,http://www.cqc.org.uk/location/1-5878062410,,"Caring for adults under 65 yrs,Mental health conditions,Caring for adults over 65 yrs,Physical disabilities",Residential homes,National Neurological Services Ltd
Bluebell Court Care Home,Wellington Street West,,Salford,,M7 2FH,1617088604.0,1-101644158,1-5446658508,http://www.unityhomes.co.uk,Salford,North West,2019-03-13T00:00:00Z,http://www.cqc.org.uk/location/1-5446658508,,"Dementia,Caring for adults over 65 yrs",Nursing homes,Unity Homes Limited
Short Breaks - 8 Broadlands Walk,8 Broadlands Walk,Moston,Manchester,Greater Manchester,M40 5LT,1612055286.0,1-101676792,1-161759427,http://www.mldp.org.uk,Manchester,North West,2019-06-25T23:00:00Z,http://www.cqc.org.uk/location/1-161759427,,Learning disabilities,Residential homes,Manchester City Council
Short Breaks - 7 Edlington Walk,7 Edlington Walk,Newton Heath,Manchester,Greater Manchester,M40 1JA,1616835211.0,1-101676792,1-161759521,http://www.mldp.org.uk,Manchester,North West,2019-07-16T23:00:00Z,http://www.cqc.org.uk/location/1-161759521,,Learning disabilities,Residential homes,Manchester City Council
"Hall Lane Resource Centre (Respite Care, Short Breaks Service)",157-159 Hall Lane,Baguley,Manchester,,M23 1WD,1612192413.0,1-101676792,1-2146647956,,Manchester,North West,2019-09-30T23:00:00Z,http://www.cqc.org.uk/location/1-2146647956,,"Sensory impairments,Caring for adults under 65 yrs,Dementia,Learning disabilities,Caring for adults over 65 yrs,Physical disabilities",Residential homes,Manchester City Council
Park Crescent,8 Park Crescent,,Manchester,Lancashire,M14 5RE,7785465822.0,1-101645441,1-886992728,http://www.standwalk.com,Manchester,North West,2019-07-31T23:00:00Z,http://www.cqc.org.uk/location/1-886992728,,"Caring for adults under 65 yrs,Learning disabilities",Residential homes,Standwalk Ltd
Norwood Drive,2 Norwood Drive,Timperley,Altrincham,Cheshire,WA15 7LD,1619049228.0,1-102643088,1-1770257802,,Trafford,North West,2019-03-15T00:00:00Z,http://www.cqc.org.uk/location/1-1770257802,,"Sensory impairments,Caring for adults under 65 yrs,Dementia,Learning disabilities,Physical disabilities",Residential homes,Community Integrated Care
Pemberton Fold,Pemberton Street,Little Hulton,Salford,Greater Manchester,M38 9LR,1617025100.0,1-102643088,1-1212453032,http://www.c-i-c.co.uk,Salford,North West,2020-03-11T00:00:00Z,http://www.cqc.org.uk/location/1-1212453032,,Caring for adults over 65 yrs,Residential homes,Community Integrated Care
Mere Hall View,7 Merehall Street,,Bolton,Lancashire,BL1 2QT,1204337098.0,1-2389949004,1-2441297405,,Bolton,North West,2019-12-20T00:00:00Z,http://www.cqc.org.uk/location/1-2441297405,,"Sensory impairments,Caring for adults under 65 yrs,Learning disabilities,Physical disabilities",Residential homes,Bolton Cares (A) Limited
Morden Grange,15 Chadwick Street,The Haulgh,Bolton,Lancashire,BL2 1JN,1204393963.0,1-101640893,1-202733142,http://www.perpetualcare.co.uk,Bolton,North West,2018-04-19T23:00:00Z,http://www.cqc.org.uk/location/1-202733142,,"Caring for adults under 65 yrs,Mental health conditions,Caring for people whose rights are restricted under the Mental Health Act",Nursing homes,Perpetual (Bolton) Limited
Somerset House,17 Somerset Road,Heaton,Bolton,Lancashire,BL1 4NE,1204493126.0,1-101640893,1-121903915,http://www.perpetualcare.co.uk,Bolton,North West,2018-04-27T23:00:00Z,http://www.cqc.org.uk/location/1-121903915,,"Caring for adults under 65 yrs,Mental health conditions,Caring for people whose rights are restricted under the Mental Health Act",Nursing homes,Perpetual (Bolton) Limited
Chamber Mount,197 Chamber Road,,Oldham,Lancashire,OL8 4DJ,1616653185.0,1-4074670953,1-4246404700,,Oldham,North West,2019-03-16T00:00:00Z,http://www.cqc.org.uk/location/1-4246404700,,"Sensory impairments,Caring for adults under 65 yrs,Dementia,Mental health conditions,Caring for adults over 65 yrs,Physical disabilities",Residential homes,New Chamber Mount Limited
Griffin Lodge,4-5 Griffin Lane,Heald Green,Cheadle,Cheshire,SK8 3PZ,1614371235.0,1-102643088,1-995620820,http://www.c-i-c.co.uk,Stockport,North West,2019-09-23T23:00:00Z,http://www.cqc.org.uk/location/1-995620820,,"Sensory impairments,Caring for adults under 65 yrs,Learning disabilities,Mental health conditions,Physical disabilities",Residential homes,Community Integrated Care
Royal College Manchester,Stanley Road,Cheadle Hulme,Cheadle,Cheshire,SK8 6RQ,1616100100.0,1-101620506,1-118539945,http://www.seashelltrust.org.uk,Stockport,North West,2019-04-16T23:00:00Z,http://www.cqc.org.uk/location/1-118539945,,"Sensory impairments,Caring for adults under 65 yrs,Learning disabilities,Mental health conditions,Physical disabilities","Residential homes,Education disability services",Seashell Trust
Brownlow House,142 North Road,Clayton,Manchester,Greater Manchester,M11 4LE,1612317456.0,1-101712456,1-131420845,,Manchester,North West,2019-09-13T23:00:00Z,http://www.cqc.org.uk/location/1-131420845,,"Sensory impairments,Caring for adults under 65 yrs,Dementia,Mental health conditions,Caring for adults over 65 yrs,Physical disabilities",Residential homes,Mr Bradley Scott Jones & Mr Russell Scott Jones
Shepley House,Eyam Road,Hazel grove,Stockport,Greater Manchester,SK7 6HP,1625874711.0,1-101650168,1-119415851,http://www.boroughcare.org.uk,Stockport,North West,2018-11-01T00:00:00Z,http://www.cqc.org.uk/location/1-119415851,,"Dementia,Caring for adults over 65 yrs",Residential homes,Borough Care Ltd
Silverdale,20 Bents Avenue,Bredbury,Stockport,Greater Manchester,SK6 2LF,1614305010.0,1-101650168,1-119415866,http://www.boroughcare.org.uk,Stockport,North West,2018-10-18T23:00:00Z,http://www.cqc.org.uk/location/1-119415866,,"Dementia,Caring for adults over 65 yrs",Residential homes,Borough Care Ltd
Bruce Lodge,Turncroft Lane,Offerton,Stockport,Greater Manchester,SK1 4AU,1614298797.0,1-101650168,1-119415762,http://www.boroughcare.org.uk,Stockport,North West,2019-06-14T23:00:00Z,http://www.cqc.org.uk/location/1-119415762,,"Dementia,Caring for adults over 65 yrs",Residential homes,Borough Care Ltd
Cawood House,Lapwing Lane,Brinnington,Stockport,Greater Manchester,SK5 8JY,1614305441.0,1-101650168,1-119415777,http://www.boroughcare.org.uk,Stockport,North West,2019-06-18T23:00:00Z,http://www.cqc.org.uk/location/1-119415777,,"Dementia,Caring for adults over 65 yrs",Residential homes,Borough Care Ltd
Lisburne Court,Alfreton Road,Offerton,Stockport,Greater Manchester,SK2 5LU,1614830671.0,1-101650168,1-119415792,http://www.boroughcare.org.uk,Stockport,North West,2020-02-11T00:00:00Z,http://www.cqc.org.uk/location/1-119415792,,"Dementia,Caring for adults over 65 yrs",Residential homes,Borough Care Ltd
Park View,2a Seedley Park Road,,Salford,Greater Manchester,M6 5WR,1617378387.0,1-101683680,1-132341164,http://www.potensial.co.uk,Salford,North West,2018-10-15T23:00:00Z,http://www.cqc.org.uk/location/1-132341164,,"Learning disabilities,Mental health conditions",Residential homes,Potensial Limited
Fernlea,20 Torkington Road,Hazel Grove,Stockport,Cheshire,SK7 4RQ,1619470874.0,1-1548996464,1-1680213355,http://www.oleacare.co.uk,Stockport,North West,2020-06-03T23:00:00Z,http://www.cqc.org.uk/location/1-1680213355,,"Caring for adults under 65 yrs,Caring for adults over 65 yrs,Physical disabilities",Nursing homes,Olea Care Ltd
Longwood Lodge Care Home,61-63 Queens Road,,Oldham,Lancashire,OL8 2BA,1616275868.0,1-461432421,1-470061969,,Oldham,North West,2018-07-09T23:00:00Z,http://www.cqc.org.uk/location/1-470061969,,"Caring for adults under 65 yrs,Dementia,Caring for adults over 65 yrs,Physical disabilities",Residential homes,Longwood Lodge Care Limited
Alexandra Lodge Care Centre,355-357 Wilbraham Road,Chorlton,Manchester,Greater Manchester,M16 8NP,1618605400.0,1-5488691404,1-5718173476,,Manchester,North West,2019-12-07T00:00:00Z,http://www.cqc.org.uk/location/1-5718173476,,"Caring for adults under 65 yrs,Caring for adults over 65 yrs",Nursing homes,Alexandra Lodge Care Centre Limited
Whitefield House,26 Church Lane,Whitefield,Bury,Greater Manchester,M45 7NF,1617969666.0,1-101696553,1-140848111,http://www.whitefieldhouse.co.uk,Bury,North West,2018-06-14T23:00:00Z,http://www.cqc.org.uk/location/1-140848111,,Caring for adults over 65 yrs,Residential homes,Whitefield House Ltd
St Joseph's - Manchester,52 Plymouth Grove West,Longsight,Manchester,Lancashire,M13 0AR,1612734147.0,1-101650455,1-131623904,http://www.littlesistersofthepoor.co.uk,Manchester,North West,2019-12-14T00:00:00Z,http://www.cqc.org.uk/location/1-131623904,,Caring for adults over 65 yrs,Nursing homes,Little Sisters of the Poor
Syrian House,Sandiway Road,Ashton-on-Mersey,Sale,Greater Manchester,M33 5AL,1925571680.0,1-101727743,1-129770830,http://www.makingspace.co.uk,Trafford,North West,2019-05-21T23:00:00Z,http://www.cqc.org.uk/location/1-129770830,,Mental health conditions,Residential homes,Making Space
Bank House Care Home,Brandleshome Road,,Bury,Lancashire,BL8 1DJ,1617644358.0,1-1726130876,1-2112451927,,Bury,North West,2018-11-21T00:00:00Z,http://www.cqc.org.uk/location/1-2112451927,,"Sensory impairments,Caring for adults under 65 yrs,Dementia,Caring for adults over 65 yrs,Physical disabilities",Nursing homes,Crystal House Platinum Limited
The Broughtons,2 Moss Street,,Salford,Greater Manchester,M7 1NF,1617089033.0,1-101679559,1-114173730,http://www.wellbeingresidential.co.uk,Salford,North West,2020-04-20T23:00:00Z,http://www.cqc.org.uk/location/1-114173730,,"Caring for adults under 65 yrs,Dementia,Mental health conditions,Caring for adults over 65 yrs,Physical disabilities",Residential homes,Wellbeing Residential Ltd
Haylands Residential Home for Gentlemen,93 Crofts Bank Road,Urmston,Manchester,Greater Manchester,M41 0US,1617498887.0,1-101611126,1-145257554,http://www.jemcareltd.co.uk,Trafford,North West,2017-09-01T23:00:00Z,http://www.cqc.org.uk/location/1-145257554,,Caring for adults over 65 yrs,Residential homes,J.E.M. Care Limited
Pearce Lodge Care Home,9 Dorchester Road,Hazel Grove,Stockport,Greater Manchester,SK7 5HE,1614835442.0,1-101615593,1-114463387,http://www.togethertrust.org.uk,Stockport,North West,2017-10-13T23:00:00Z,http://www.cqc.org.uk/location/1-114463387,,"Sensory impairments,Caring for adults under 65 yrs,Physical disabilities",Residential homes,The Together Trust
New Willow House,167 Hunt Lane,Chadderton,Oldham,Lancashire,OL9 9JJ,1617705092.0,1-757123384,1-3075781998,http://www.miocare.co.uk,Oldham,North West,2018-04-25T23:00:00Z,http://www.cqc.org.uk/location/1-3075781998,,"Sensory impairments,Caring for adults under 65 yrs,Learning disabilities,Caring for adults over 65 yrs,Physical disabilities",Residential homes,Oldham Care and Support Ltd
Silverdene Residential Home,709-711 Moston Lane,Moston,Manchester,Lancashire,M40 5QD,1612205840.0,1-5673871119,1-5833022299,http://www.vestacare.co.uk,Manchester,North West,2019-11-27T00:00:00Z,http://www.cqc.org.uk/location/1-5833022299,,"Sensory impairments,Caring for adults under 65 yrs,Dementia,Learning disabilities,Caring for adults over 65 yrs,Physical disabilities",Residential homes,Vesta Care (UK) Limited
Radcliffe House,26 Eastfields,Radcliffe,Manchester,Lancashire,M26 4QE,1617247738.0,1-1051964904,1-4590717813,,Bury,North West,2019-02-15T00:00:00Z,http://www.cqc.org.uk/location/1-4590717813,,"Caring for adults under 65 yrs,Learning disabilities,Mental health conditions",Nursing homes,Nestlings Care Ltd
Brinnington Hall,Middlesex Road,,Stockport,Cheshire,SK5 8HT,1614063040.0,1-272982643,1-1477142394,http://www.idealcarehomes.co.uk,Stockport,North West,2019-12-18T00:00:00Z,http://www.cqc.org.uk/location/1-1477142394,,"Dementia,Caring for adults over 65 yrs",Residential homes,Ideal Carehomes (Number One) Limited
SignHealth Bowfell Road,SignHealth,"100 Bowfell Road, Urmston",Manchester,Lancashire,M41 5RR,1617478156.0,1-101647147,1-118140734,http://www.signhealth.org.uk,Trafford,North West,2019-07-30T23:00:00Z,http://www.cqc.org.uk/location/1-118140734,,"Sensory impairments,Caring for adults under 65 yrs,Mental health conditions",Residential homes,SignHealth
SignHealth Claridge Road,SignHealth,1 Claridge Road,Manchester,Lancashire,M21 9WQ,1618604365.0,1-101647147,1-118140752,http://www.signhealth.org.uk,Manchester,North West,2019-10-17T23:00:00Z,http://www.cqc.org.uk/location/1-118140752,,"Sensory impairments,Caring for adults under 65 yrs,Mental health conditions",Residential homes,SignHealth
